S.NO,District,Type of Local Body,Local Body,Veterinary Hospitals
1,Ariyalur,M,Ariyalur,Ariyalur
2,Ariyalur,M,Jayankondam,Periavalayam
3,Chennai,C,Chennai,Royapuram
4,Coimbatore,PU,Annur,Annur
5,Coimbatore,M,Pollachi,Kanjanpatti
6,Coimbatore,PU,Sarkarsamakulam,Kovilpalayam
7,Coimbatore,PU,Madukarai,Madukarai
8,Coimbatore,M,Mettupalayam,Mettupalayam
9,Coimbatore,C,Coimbatore,Peelamedu
10,Coimbatore,PU,Periyanaickenpalayam,Periyanaickenpalayam
11,Coimbatore,PU,Perur,Perur
12,Coimbatore,PU,Sultanpet,Sultanpet
13,Coimbatore,PU,Sulur,Sulur
14,Coimbatore,PU,Sarkarsamakulam,Vellakinaru
15,Coimbatore,PU,Anamalai,Vettaikaranpudur
16,Cuddalore,PU,Bhuvanagiri,Bhuvanagiri
17,Cuddalore,PU,Kurinchipadi,Kurinchipadi
18,Cuddalore,PU,Annagramam,Melpattambakkam
19,Cuddalore,PU,Panruti,Panruti
20,Cuddalore,PU,Mangalur,Tittagudi
21,Dharmapuri,PU,Palacode,Palacode
22,Dharmapuri,PU,Pappireddipatti,Pappireddipatti
23,Dindigul,PU,Oddanchathiram,Kallimandayam
24,Dindigul,TP,Kodaikanal,Kodaikanal
25,Dindigul,TP,Nilakottai,Nilakottai
26,Dindigul,TP,Oddanchathiram,Oddanchathiram
27,Dindigul,PU,Nilakottai,Pallapatti
28,Erode,PU,Thookkanaickenpalayam,Bangalapudur
29,Erode,M,Bhavani,Bhavani
30,Erode,PU,Bhavani,Kavindapadi
31,Erode,PU,Gobichettipalayam,Kugalur
32,Erode,PU,Modakurichi,Modakurichi
33,Erode,PU,Perundurai,Perundurai
34,Kancheepuram,PU,St. Thomas Mount,Chitlapakkam
35,Kanyakumari,M,Kuzhithurai,Kuzhithurai
36,Kanyakumari,M,Thuckalay,Thuckalay
37,Karur,PU,Karur,Athoor
38,Karur,PU,Kadavur,Kaniyalampatti
39,Krishnagiri,PU,Burgur,Burgur
40,Krishnagiri,PU,Kaveripattinam,Kaveripattinam
41,Madurai,M,Melur,Melur
42,Madurai,PU,Madurai West,Samayanallur
43,Madurai,PU,Sedapatti,Sedapatti
44,Madurai,M,Thirumangalam,Thirumangalam
45,Nagapattinam,M,Nagapattinam,Nagapattinam
46,Nagapattinam,M,Sirkali,Sirkali
47,Nagapattinam,PU,Keelaiyur,Thirukuvalai
48,Namakkal,PU,Namakkal,Namakkal
49,Namakkal,M,Pallipalayam,Pallipalayam
50,Namakkal,TP,Paramathi,Paramathivelur
51,Namakkal,M,Thiruchengode,Thiruchengode
52,Pudukottai,PU,Gandarvakottai,Gandarvakottai
53,Pudukottai,PU,Keeramangalam,Keeramangalam
54,Pudukottai,PU,Ponnamaravathi,Ponnamaravathi
55,Pudukottai,PU,Aranthangi,Subramaniyapuram
56,Ramanathapuram,PU,Ramanathapuram,Devipattinam
57,Ramanathapuram,PU,Kadaladi,Kadaladi
58,Ramanathapuram,M,Paramakudi,Paramakudi
59,Ramanathapuram,M,Ramanathapuram,Ramanathapuram
60,Salem,M,Athur,Athur
61,Salem,M,Edapadi,Edapadi
62,Salem,TP,Mettur,Mettur
